id_venda,data_venda,id_produto,nome_produto,categoria,marca,quantidade,valor_unitario,total_venda,metodo_pagamento,id_cliente,regiao
1,2025-07-01,101,Smartphone X,Smartphones,TechCorp,1,2500.00,2500.00,Cartao de Credito,C001,Sudeste
2,2025-07-01,102,Notebook Y,Notebooks,Innovate,1,4500.00,4500.00,Boleto,C002,Nordeste
3,2025-07-02,103,Fone de Ouvido Z,Acessorios,SoundWave,2,150.00,300.00,Pix,C003,Sul
4,2025-07-02,101,Smartphone X,Smartphones,TechCorp,1,2500.00,2500.00,Cartao de Credito,C001,Sudeste
5,2025-07-03,104,Smartwatch A,Wearables,Innovate,1,800.00,800.00,Pix,C004,Norte
6,2025-07-03,105,Teclado Mecanico,Perifericos,GamerGear,1,350.00,350.00,Cartao de Debito,C005,Centro-Oeste
7,2025-07-04,106,Mouse sem Fio,Perifericos,Logitech,3,80.00,240.00,Pix,C006,Sudeste
8,2025-07-04,107,Monitor Ultrawide,Monitores,ScreenMax,1,1200.00,1200.00,Boleto,C007,Nordeste
9,2025-07-05,108,Webcam HD,Acessorios,TechCorp,1,200.00,200.00,Cartao de Credito,C008,Sul
10,2025-07-05,109,Caixa de Som Portatil,Audio,SoundWave,2,250.00,500.00,Pix,C009,Sudeste
11,2025-07-06,110,Tablet Pro,Tablets,Innovate,1,1800.00,1800.00,Cartao de Credito,C010,Norte
12,2025-07-06,101,Smartphone X,Smartphones,TechCorp,1,2500.00,2500.00,Cartao de Credito,C011,Centro-Oeste
13,2025-07-07,102,Notebook Y,Notebooks,Innovate,1,4500.00,4500.00,Pix,C012,Sudeste
14,2025-07-07,103,Fone de Ouvido Z,Acessorios,SoundWave,1,150.00,150.00,Cartao de Debito,C013,Nordeste
15,2025-07-08,104,Smartwatch A,Wearables,Innovate,2,800.00,1600.00,Boleto,C014,Sul
16,2025-07-08,105,Teclado Mecanico,Perifericos,GamerGear,1,350.00,350.00,Pix,C015,Sudeste
17,2025-07-09,106,Mouse sem Fio,Perifericos,Logitech,1,80.00,80.00,Cartao de Credito,C016,Norte
18,2025-07-09,107,Monitor Ultrawide,Monitores,ScreenMax,1,1200.00,1200.00,Pix,C017,Centro-Oeste
19,2025-07-10,108,Webcam HD,Acessorios,TechCorp,2,200.00,400.00,Cartao de Credito,C018,Sudeste
20,2025-07-10,109,Caixa de Som Portatil,Audio,SoundWave,1,250.00,250.00,Boleto,C019,Nordeste